S.no,Name of the Enterprise,Address,Primary Contact 1,Primary Contact 2,Primary Contact Mail Id,Primary Contact Number
1,Fernandes Brothers Cashewnut Processing Factory,"Kulshekar, 
Mangalore - 575005",Walter D'souza,Noel D'souza,fernandesbrothers@gmail.com,7353750505
2,Aspinwall & Company Limited,"PB No.901, Maroli Coffee Curing Works,
Kulshekar, Mangalore - 575005",T R Radhakrishnan,Sandeep Menapravan,rajesh.s@aspinwall.in,8111991001
3,"The Canara Workshops Limited 
Spring & General Engg. Division ","Maroli,  Mangalore - 575005",Premnath S kudva,Surendra Kumar K.P.,canarasprings@gmail.com,9449687997
4,"Sharada Press, Prop: The Mangalore Trading Association Pvt Ltd","Maroli, Kulshekar, Mangalore-575005",V Ramakrishna Kamath,V Ramanath Kamath,info@sharadapress.com,9448145725
5,Raj tile works,"Thiruvail Village, Vamanjoor, 
Mangalore 575028",N Raviraj Shetty,Saritha Shetty,nravirajshetty@gmail.com,9972032600
6,Ganesh Tile works,"Kaikamba, 
P.O. Kinnikambla - 574151",Govardhana K Shetty,Govardhana K Shetty,shettygk@gmail.com,9243305235/ 8277351789
7,Punja Tile Works,"Ganjimutt, 
Mangalore - 574144",MH Arvind Punja,P Jayaram Shetty,punjatileworks@gmail.com,9845442506
8,Kamath Cashew Company,"Kolambe, Bajpe, 
Mangalore - 574166",Raghuram Kamath,Raghuram Kamath,kamathcashewco@gmail.com,9343340185
9,Codialbail Press,"Konchady Post, Maryhill,
Mangalore - 575008 ",Most Rev Dr.Peter Paul Saldhana,Rev Fr Lawrence Ronald Dsouza,codialbailpress@yahoo.in,9448123113
10,Ballal & Padival Tiles," Ganjimatt, 
Mangalore - 574144",Randhir  Padival,Rajendra K,ravirajbrao@gmail.com,9845741141
11,Mangalore Roller Flour Mills,"P.B.No. 904, Kulashekar, 
Mangalore - 571005",Vinay Kumar Jain,Govindram Sharma,mrfmills01@yahoo.co.in,9980095190
12,D.K. Co-Operative Milk Producers,"Union Ltd. Kulshekar, Mangalore - 575005",Vivek D.,Siddegowda B S,mddkmul@gmail.com,7760980529
13,Bharath Printers,"Maroli, Mangalore - 575005",Nagendra D Pai,Subraya M Pai,info@bharathprinters.com,9448619230
14,Mangalore Chemicals & Fertilizers Limited,"Panambur, 
Mangalore - 575010",Nitin manguesh Kantak,S Girish,s.girish@adventz.com,9845081603
15,Deepa Packers,"Mary Hill, Konchady, 
Mangalore - 575008",K Surendra Prabhu,K Surendra Prabhu,deepapackers@gmail.com,9448121065
16,Lamina Suspension Products Ltd.,"Plot No. 17-20, 20B & 196B,  Industrial Area, Baikampady, Mangalore - 575011",T R Shenoy,M Sudhakar Shetty,venkateshsaanaga@gmail.com,9449179898
17,Mangala Cashew Industries,"Padavinangadi, 
Mangalore - 575008",D Vaman Kamath,K Narasimha Bhat,mangalkaju@hotmail.com,9845117909
18,Raj Brothers Clay Industries," P.O. Ganjimat,
Mangalore - 574144",N Yathiraj Shetty,Raja Shekar Bhandary,rajbrosclayind@gmail.com,9448138604
19,Achal Industries,"204,204(A),205,206 & 207, Industrial Area, Baikampady, 
Mangalore - 575011  ",G Giridhar Prabhu,P Vasudeva Shenoy,ggprab@gmail.com,9845127177
20,Navadurga Cashew Industries,"Kolambe,
Bajpe - 574189",S Kamalaksha Kamath,S Kamalaksha Kamath,naveennavadurga@gmail.com,9945270937
21,TATA Coffee Limited,"128/129, Industrial Area, Baikampady, 
Mangalore - 575011    ",P A Mandanna,K U Somaiah,mlr@tatacoffee.com,9448773468
22,South Kanara Agricultural Development Co-operative Society Limited,"Krishi Division L-12, Industrial Estate, Yeyyadi, Mangalore - 575008",Prem raj Bhandary,Jagadish Suvarna,skads4@pumpset@gmail.com,9620097852
23,M Madhavaraya Prabhu,"4-174, Jeevottam Muduperar Mangalore-574151",M Tukaram Prabhu,M Tukaram Prabhu,mmpcashew27@gmail.com,9449385527
24,Manmet Engg. Products Private Ltd.,"N - 3, Industrial Area, Baikampady, 
Mangalore - 575011",Vishal Hegde,T Deju Kotian,manmet@lamina.co.in,9845081679
